index,code,category,name,weight_g,kcal,carb_g,sugar_g,fat_g,protein_g,sodium_mg
56,01016018,01,캘리포니아롤,300,468.16,81.22,0,9.73,12.8,1351.96
57,01016019,01,한치초밥,250,389.96,77.31,1.74,1.2,13.54,1153.49
58,01016020,01,일반김밥,200,348.87,63.636,0,5.424,10.276,951.3200000000002
59,02011001,02,간자장,650,807.7367999999999,121.74799999999998,6.7932,26.380599999999998,29.283200000000004,2347.7712
60,02011002,02,굴짬뽕,900,640.774,115.816,1.998,7.759,37.39,2385.3450000000003
61,02011003,02,기스면,1000,645.6099999999999,98.30199999999999,0,11.004000000000001,43.516999999999996,2279.5240000000003
62,02011004,02,김치라면,650,512.2552499999999,80.56555,2.27305,20.338500000000003,12.970749999999999,2628.288
63,02011005,02,김치우동,800,512.712,99.064,0,4.736,16.744,3003.048
64,02011006,02,김치말이국수,600,310.37699999999995,60.75599999999999,2.997,2.469,10.418000000000003,2335.4480000000003
65,02011007,02,닭칼국수,900,643.097,70.238,0,19.587000000000007,39.85900000000001,2492.774
66,02011008,02,들깨칼국수,600,442.32199999999995,76.674,2.398,6.778,17.477,1695.7730000000001
67,02011009,02,떡라면,700,672.1799999999998,121.08300000000001,0,17.579000000000004,15.451,2214.3559999999998
68,02011010,02,라면,550,509.32800000000003,83.16800000000002,0,17.748,14.077000000000002,1695.5009999999997
69,02011011,02,막국수,550,566.886,111.30199999999998,11.022,5.0874999999999995,26.9485,1828.021
70,02011012,02,메밀국수,600,588.6750000000001,120.08700000000003,10.162,4.526999999999999,25.259000000000004,1962.4579999999996
71,02011013,02,물냉면,800,579.71,96.40300000000002,1.199,9.779,28.784,2586.1597
72,02011014,02,비빔국수,550,577.17,114.475,11.014999999999999,9.549999999999999,16.705000000000002,1628.3000000000002
73,02011015,02,비빔냉면,550,594.3100000000001,91.49200000000002,1.999,9.127999999999998,23.699,1530.5699999999997
74,02011016,02,삼선우동,1000,692.2599999999999,89.195,1.999,10.527999999999999,56.1725,2351.4322
75,02011017,02,삼선자장면,700,787.844,111.57,1.999,24.682,38.326,2791.1097
76,02011018,02,삼선짬뽕,900,629.1000000000001,89.31099999999999,2.997,13.452,39.17,2825.6600000000003
77,02011019,02,수제비,800,622.148,99.21699999999998,0,6.5409999999999995,38.529,1669.3157
78,02011020,02,쌀국수,600,321.33500000000004,46.19799999999999,2.198,5.814,21.848000000000003,2032.165
79,02011021,02,열무김치국수,800,488.32399999999996,81.61199999999998,0,8.223,21.935999999999996,2587.704
80,02011023,02,오일소스스파게티,400,626.5849999999999,99.24400000000001,0,16.585,14.675,968.6960000000001
81,02011024,02,일식우동,700,420.79300000000006,81.226,0.5,1.739,16.935,1873.5439999999994
82,02011025,02,볶음우동,300,377.92,62.259,0.9084,10.809999999999999,9.584999999999997,1461.3100000000002
83,02011027,02,자장면,650,760.88275,134.2891,7.992,23.1648,15.739625,2446.9963749999997
84,02011028,02,잔치국수,700,564.2339999999999,104.66499999999999,0.44,6.226000000000001,20.262,1792.2259999999999
85,02011029,02,짬뽕,1000,650.3059999999999,118.54399999999998,0,13.524999999999999,25.525,3451.3679999999995
86,02011030,02,짬뽕라면,750,633.34,88.792,0,24.628,31.408000000000005,2380.926
87,02011031,02,쫄면,450,622.4189999999999,110.852,22.13,6.932,12.358,1271.545
88,02011032,02,치즈라면,600,598.674,83.534,0,23.282,23.346999999999998,2425.9700000000003
89,02011033,02,콩국수,800,623.5,67.116,0.999,20.433000000000003,47.802,875.8390999999999
90,02011034,02,크림소스스파게티,400,825.0615000000001,85.87595000000002,0,45.39685000000001,19.442750000000004,1025.2077000000002
91,02011035,02,토마토소스스파게티,500,642.1776000000001,102.07200000000002,0,17.3664,20.222399999999997,1404.8111999999999
92,02011036,02,해물칼국수,900,621.1973999999999,124.20989999999999,0,4.0107,24.873299999999997,2195.0534999999995
93,02011037,02,회냉면,550,638.902,131.8955,22.728749999999998,8.777999999999999,20.218000000000004,1524.2755
94,02011038,02,떡국,800,714.9869,144.02990000000003,0,5.386700000000001,21.862199999999998,2019.2821000000001
95,02011039,02,떡만둣국,700,625.347,113.9604,0,9.3978,22.721700000000002,1999.1163000000001
96,02011040,02,짜장라면,250,409.375,63.77499999999999,0,14.850000000000001,12.0125,1276.375
97,02012001,02,고기만두,250,454.38500000000005,55.325,0,18.244999999999997,18.6575,888.8000000000002
98,02012002,02,군만두,250,684.4199999999998,76.17,0,31.174999999999997,19.772499999999997,983.7025000000001
99,02012003,02,김치만두,250,424.64240000000007,60.7932,0,13.096200000000001,18.4314,961.9740000000002
100,02012004,02,물만두,120,158.05255,20.484949999999998,0,5.842,5.8580999999999985,269.51974999999993
101,02012005,02,만둣국,700,432.621,53.276999999999994,0,14.924000000000001,19.243000000000002,2356.6689999999994
102,03011001,03,게살죽,800,554.2379999999999,103.5906,0,7.6259999999999994,18.146600000000003,1533.9576
103,03011002,03,깨죽,800,505.67750000000007,71.13100000000001,0,18.940600000000003,13.429400000000001,1212.2731000000003
104,03011003,03,닭죽,1000,1181.71,92.53000000000003,0,48.17999999999999,75.93,789.79
105,03011004,03,소고기버섯죽,800,573.2374,102.9346,0,6.461599999999999,20.524599999999996,1263.6199999999997
106,03011005,03,어죽,800,559.2741,90.46730000000001,0,6.0753,15.530899999999999,1621.2897000000003
107,03011006,03,잣죽,700,872.6080000000001,153.7851,0,20.2943,15.791900000000002,850.6253
108,03011007,03,전복죽,800,587.2914000000001,105.0365,0,11.454,14.574800000000002,1423.9314000000004
109,03011008,03,참치죽,800,658.4603999999999,105.9396,0,13.8528,26.083199999999998,1264.146
110,03011009,03,채소죽,800,514.8324,100.79520000000001,0,5.1294,11.8939,1211.6340000000002
111,03011010,03,팥죽,600,482.65200000000004,100.74000000000001,4.7940000000000005,0.564,20.592,1026.114
112,03011011,03,호박죽,600,430.326,111.40800000000002,25.776000000000003,0.72,8.112,911.7180000000001
113,03012001,03,콘스프,400,280.482,35.372,0,14.016,5.822,1319.462
114,03012002,03,토마토스프,400,382.4119999999999,12.418000000000001,0,25.402,18.200000000000003,1544.308
115,04011001,04,굴국,450,194.4225,11.443499999999998,0,8.649000000000003,22.8015,1775.9700000000003
116,04011002,04,김치국,450,85.9995,13.005,0,3.375,6.0345,1646.1495000000002
117,04011003,04,달걀국,450,193.04099999999997,5.350499999999999,0,11.110500000000002,16.1865,1263.9645
118,04011004,04,감자국,700,220.07299999999998,37.00899999999999,0,2.163,16.996,1734.152
119,04011005,04,미역국,500,50.16499999999999,4.694999999999999,0,4.35,2.7000000000000006,1527.55
120,04011006,04,바지락조개국,550,159.247,8.5085,0,1.8425,25.828,1650.847
121,04011007,04,소고기무국,400,125.22400000000002,8.136,0,4.715999999999999,13.512000000000002,1095.184
122,04011008,04,소고기미역국,650,154.9275,6.909500000000001,0,6.825000000000001,20.228,2006.8749999999998
123,04011010,04,순대국,800,550.6639999999999,22.816000000000006,0,32.93599999999999,41.224000000000004,1532.5919999999999
124,04011011,04,어묵국,600,252.09000000000006,37.164,0,4.2059999999999995,22.854,2022.7440000000001
125,04011012,04,오징어국,500,169.03499999999997,10.595,0,2.3549999999999995,27.740000000000006,1573.4199999999998
126,04011013,04,토란국,250,462.97,85.16,0,7.0725,23.8875,700.6700000000001
127,04011014,04,탕국,250,94.23750000000001,2.575,0,4.32,12.0775,663.0474999999999
128,04011015,04,홍합미역국,650,168.883,14.131,0,6.4285,19.987499999999997,2066.272
129,04011016,04,황태해장국,600,184.224,6.389999999999999,0,7.218000000000001,25.212,1526.8200000000002
130,04012001,04,근대된장국,450,109.2645,8.136,0,3.2129999999999996,15.309,1453.1940000000002
131,04012002,04,미소된장국,150,37.966499999999996,1.6949999999999998,0,1.7459999999999998,4.1385,511.98
132,04012003,04,배추된장국,700,121.53399999999998,11.039,0,3.6259999999999994,13.958,2321.4800000000005
133,04012004,04,뼈다귀해장국,1000,715.9799999999999,29.71,0,45.370000000000005,53.629999999999995,3093.6
134,04012005,04,선지(해장)국,1000,314.42,22.29,0,5.029999999999999,48.099999999999994,3053.19
135,04012006,04,콩나물국,400,22.529999999999998,1.2610000000000001,0,1.4220000000000002,1.8219999999999998,752.425
136,04012007,04,시금치된장국,400,121.448,9.896,0,3.3880000000000003,16.688,1381.248
137,04012008,04,시래기된장국,450,99.12149999999997,10.683000000000002,0,2.5425,10.017,1535.6295
138,04012009,04,쑥된장국,450,117.315,17.165499999999998,0,2.5520000000000005,13.211,1799.6
139,04012010,04,아욱된장국,450,103.52699999999999,9.963,0,2.9385,11.997,1462.1265
140,04012011,04,우거지된장국,450,85.97250000000001,13.716,0,1.8135000000000001,6.444,1593.99
141,04012012,04,우거지해장국,600,158.496,14.856399999999999,0,5.725200000000001,14.1856,1972.0879999999997
142,04012013,04,우렁된장국,500,245.275,21.189999999999998,0,7.049999999999999,24.72,2150.425
143,04013002,04,갈비탕,600,240.39600000000002,8.208,0,14.333999999999998,18.672,1688.43
144,04013003,04,감자탕,900,963.7085000000001,49.6375,0.9006,58.2825,60.553,2439.3815
145,04013004,04,곰탕,300,181.41599999999997,15.498000000000001,0,5.436000000000001,16.593,713.6429999999999
146,04013005,04,매운탕,600,402.792,18.828,1.548,21.564000000000004,37.164,2130.9539999999997
147,04013006,04,꼬리곰탕,700,750.6948000000001,10.934400000000002,0,52.80270000000001,54.86630000000001,764.7313
148,04013007,04,꽃게탕,600,240.65400000000002,20.772,0,5.49,31.703999999999997,2268.8579999999997
149,04013008,04,낙지탕,600,186.102,11.766000000000002,0,2.7300000000000004,29.214000000000002,1711.1219999999998
150,04013009,04,내장탕,700,549.808,13.699,0,31.506999999999998,56.973,2383.0730000000003
151,04013010,04,닭곰탕,650,527.7025000000001,15.392,0,24.141000000000002,58.876999999999995,1005.1860000000001
152,04013011,04,닭볶음탕,300,371.81100000000004,19.173,2.016,17.319000000000003,33.846000000000004,1030.455
153,04013012,04,지리탕,600,260.59150000000005,10.5235,0,8.359,38.343500000000006,1685.164
154,04013013,04,도가니탕,800,563.648,5.584,0,34.767999999999994,54.6,599.272
155,04013014,04,삼계탕,1000,881.3245,44.080000000000005,0,40.57449999999999,76.64600000000002,1211.3165
156,04013015,04,설렁탕,600,422.76000000000005,10.937999999999999,0,18.203999999999997,52.709999999999994,725.1600000000001
157,04013017,04,알탕,700,424.125,49.522499999999994,14.850000000000001,6.9795,49.2075,2393.2860000000005
158,04013018,04,연포탕,1000,541.19,21.64,0,9.2,91.65,2307.0699999999997
159,04013019,04,오리탕,600,480.822,24.156,1.032,21.636,43.21200000000001,1849.9260000000002
160,04013020,04,추어탕,700,338.66700000000003,24.416,1.806,11.508000000000001,37.366,2077.1520000000005
161,04013021,04,해물탕,600,272.26199999999994,19.584000000000003,1.548,3.3839999999999995,41.742,2071.986
162,04013022,04,닭개장,700,317.07039999999995,19.182799999999997,0,14.946399999999999,33.741600000000005,1786.0336
163,04013023,04,육개장,440,137.8564,11.622300000000001,0,5.8672,13.438699999999999,1112.7844
164,04013024,04,뼈해장국,1000,692.93,25.420000000000005,0,37.16,67.92,3192.46
165,04014001,04,미역오이냉국,450,77.34599999999999,19.7415,8.991,1.3544999999999998,5.606999999999999,1483.6005
166,04015001,04,고등어찌개,600,605.3099999999998,32.034000000000006,0,28.2,59.16000000000001,2599.7100000000005
167,04015002,04,꽁치찌개,300,356.63399999999996,14.478000000000002,0.7224,20.685000000000006,29.511000000000006,1296.3300000000002
168,04015003,04,동태찌개,800,369.68800000000005,18.943999999999996,1.3760000000000001,7.800000000000001,59.56799999999999,2487.544
169,04016001,04,부대찌개,600,525.984,46.806,0,28.482,27.714,2689.188
170,04017001,04,된장찌개,400,147.064,15.976,0,5.267999999999999,11.708,2021.7800000000002
171,04017002,04,청국장찌개,400,275.464,14.968,0,14.432,25.844,1839.752
172,04018001,04,두부전골,500,315.11,16.195,0.8600000000000001,19.150000000000002,29.145,1651.525
173,04018002,04,곱창전골,600,532.65,26.886,0,34.728,38.34600000000001,1750.422
174,04018003,04,소고기전골,300,203.223,16.548000000000002,0,7.542,19.467000000000002,1090.149
175,04018004,04,국수전골,400,643.1600000000001,66.928,3.996,22.387999999999998,45.291999999999994,1524.6279999999997
176,04019001,04,돼지고기김치찌개,400,246.28799999999998,9.328,0,18.256,15.5,1961.476
177,04019002,04,버섯찌개,400,171.85999999999999,15.259999999999998,0,7.524,16.644,1267.812
178,04019003,04,참치김치찌개,400,193.57600000000002,13.331999999999995,0,10.887999999999998,16.855999999999998,2604.4519999999998
